message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=3.884116, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.811978641";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.899288, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.796901060";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=5.002750, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.796722154";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.868944, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.796482307";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.987578, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.780865070";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.884116, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.780466531";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.853771, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.780043285";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.868944, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.764868900";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.838599, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.764743170";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.972406, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.764047608";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.823427, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.748609791";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.957233, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.748464748";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.853771, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.747951957";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.942061, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.732475453";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.838599, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.732459229";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.808254, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.732249774";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.926889, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.716988171";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.823427, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.716062348";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.793082, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.715916958";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.777910, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.700918678";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.911716, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.700818557";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.808254, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.700536109";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.762737, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.684639506";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.896544, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.684303003";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.793082, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.683996585";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.881372, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.668692010";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.777910, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.668590383";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.747565, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.668430227";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.762737, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.652521329";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.866199, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.652204892";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.732393, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.652122491";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.747565, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.636732012";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.851027, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.636645738";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.717221, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.636592731";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.835855, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.620791542";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.732393, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.620604502";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.702048, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.620378988";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.686876, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.604910864";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.820682, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.604157717";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.717221, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.603957290";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.702048, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.588850821";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.805510, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.588800657";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.671704, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.588492081";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.686876, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.572633468";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.656531, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.572285546";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.790338, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.572086773";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.775165, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.556616199";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.671704, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.556295491";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.641359, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.555967692";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.626187, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.541048075";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.759993, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.540276532";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.656531, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.539951966";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=4.744821, y=11.117064])";"30";"turtlesim1.sim1";"1758613521.525024370";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.641359, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.524339008";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.611014, y=11.117064])";"30";"turtlesim3.sim3";"1758613521.524139492";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=3.626187, y=11.117064])";"30";"turtlesim2.sim2";"1758613521.508738616";"./src/turtle.cpp:update:260"
